District,Year,Kharif_Area,Kharif_Production,Kharif_Yield,Rabi_Area,Rabi_Production,Rabi_Yield
Medak,2011 - 2012,90400,285575,3.16,46632,121383,2.6
Medak,2012 - 2013,76000,270000,3.55,34000,103000,3.03
Medak,2013 - 2014,108639,393985,3.63,62331,230500,3.7
Medak,2014 - 2015,73983,234342,3.17,36910,128742,3.49
Medak,2015 - 2016,61512,174884,2.84,22659,64895,2.86
Medak,2016 - 2017,31715,97175,3.06,45504,187795,4.13
Medak,2017 - 2018,45317,130422,2.88,32224,110915,3.44
Medak,2018 - 2019,31269,108722,3.48,11881,38233,3.22
Medak,2019 - 2020,48432,212181,4.38,31649,118399,3.74
Medak,2020 - 2021,78867,202291,2.56,69279,346118,5
Medak,2021 - 2022,103929,389526,3.75,57412,215525,3.75
Medak,2022 - 2023,119309,435359,3.65,105357,350417,3.33
Medchal,2016 - 2017,1907,5015,2.63,4522,17577,3.89
Medchal,2017 - 2018,4844,16005,3.3,4552,17898,3.93
Medchal,2018 - 2019,4032,16757,4.16,2702,9084,3.36
Medchal,2019 - 2020,5139,20191,3.93,3877,13360,3.45
Medchal,2020 - 2021,6475,18700,2.89,5501,21217,3.86
Medchal,2021 - 2022,7457,27255,3.65,1996,6689,3.35
Medchal,2022 - 2023,7384,29514,4,5644,20364,3.61
Mulugu,2018 - 2019,35880,130818,3.65,13416,44595,3.32
Mulugu,2019 - 2020,38066,130186,3.42,16336,62502,3.83
Mulugu,2020 - 2021,40794,113410,2.78,21605,75661,3.5
Mulugu,2021 - 2022,44793,134065,2.99,6724,20522,3.05
Mulugu,2022 - 2023,40505,122285,3.02,19777,66767,3.38
Nagarkurnool,2016 - 2017,7727,21549,2.79,11482,26776,2.33
Nagarkurnool,2017 - 2018,8272,18074,2.18,17634,55917,3.17
Nagarkurnool,2018 - 2019,15792,37538,2.38,16758,44560,2.66
Nagarkurnool,2019 - 2020,24324,80975,3.33,36066,124752,3.46
Nagarkurnool,2020 - 2021,39868,106779,2.68,59787,201064,3.36
Nagarkurnool,2021 - 2022,51528,159737,3.1,23507,68382,2.91
Nagarkurnool,2022 - 2023,49811,164476,3.3,62949,219251,3.48
Nalgonda,1997 - 1998,149100,369500,2.48,62600,150300,2.4
Nalgonda,1998 - 1999,164300,491600,2.99,153700,431500,2.81
Nalgonda,1999 - 2000,175702,420279,2.39,63295,155769,2.46
Nalgonda,2000 - 2001,176488,560173,3.17,85813,236243,2.75
